Designator,Supplier Part Number 1,Description,Footprint,Quantity

"BT1","BU2032SM-HD-GDKR-ND","HOLDER COIN CELL 2032 SMD","BU2032SM-HD-G","1"
"C1, C2","490-1403-1-ND","CAP CER 10PF 50V 5% C0G 0603","0603","2"
"C3, C5, C6, C9, C10","445-1316-1-ND","CAP CER .10UF 25V X7R 10% 0603","0603","5"
"C7, C8","338-1807-1-ND","CAP ALUM 220UF 25V 20% SMD","CAP AVE227M25F24T-F","2"
"D1, D2","497-8030-6-ND","DIODE SCHOTTKY 30V 2A SMB","DSO-C2/X2.3","2"
"J1","CP-036APJCT-ND","CONN PWR JACK 2.0X6.3MM SMT","CONN_PWR2.0_SMT","1"
"J2, J3, J4, J5, J6, J7, J8, J9","A19432-ND","CONN HEADER VERT 5POS .100 TIN","CONN_HDR1X5","8"
"P1","WM17449-ND","Header, 3-Pin, Dual row","CONN_HDR_SMT_6_2R","1"
"R1","P4.70KHCT-ND","RES 4.70K OHM 1/10W 1% 0603 SMD","0603","1"
"R2, R5","P1.60KHDKR-ND","RES 1.60K OHM 1/10W 1% 0603 SMD","0603","2"
"R3","P698KHDKR-ND","RES 698K OHM 1/10W 1% 0603 SMD","0603","1"
"R4","P107KHCT-ND","RES 107K OHM 1/10W 1% 0603 SMD","0603","1"
"S1, S2, S3, S4","506-1571634-2","Single-Pole, Single-Throw Switch","1571634-2","4"
"U1","ATMEGA48V-10AU-ND","IC AVR MCU 4K 10MHZ 1.8V 32TQFP","32A_N","1"
"U2","NCP1117DT33RKGOSCT-ND","IC REG LDO 3.3V DPAK","DPAK","1"
"U3, U4","296-23916-1-ND","IC LED DRIVER LINEAR 24-QSOP","SOP24","2"
"U5","TC1047AVNBCT-ND","IC TEMP-VOLT CONV PREC SOT-23B","SOT23-3N","1"
"Y1","535-10241-1-ND","CRYSTAL 32.768 KHZ 6.0 PF SMD","ABS25","1"
